,Area(0072-0135),Mean(0072-0135),Min(0072-0135),Max(0072-0135),Area(0338-0243),Mean(0338-0243),Min(0338-0243),Max(0338-0243),Area(0351-0330),Mean(0351-0330),Min(0351-0330),Max(0351-0330),Area(0457-0352),Mean(0457-0352),Min(0457-0352),Max(0457-0352),Area(0454-0435),Mean(0454-0435),Min(0454-0435),Max(0454-0435)
38,1254,118.833,-13.0,811.0,1000,78.134,-7.0,543.0,1101,124.757,-6.0,990.0,846,59.057,-7.0,497.0,1024,49.305,-5.0,412.0
39,1254,114.904,-13.0,988.0,1000,76.484,-4.0,861.0,1101,127.322,-12.0,819.0,846,55.545,-5.0,522.0,1024,51.501,-6.0,504.0
40,1254,119.328,-7.0,1026.0,1000,77.487,-2.0,690.0,1101,134.034,-5.0,869.0,846,49.304,-3.0,542.0,1024,51.552,-5.0,421.0
41,1254,123.375,-4.0,819.0,1000,80.863,-4.0,823.0,1101,134.721,-1.0,802.0,846,55.468,-2.0,444.0,1024,51.896,-2.0,550.0
42,1254,118.689,-3.0,828.0,1000,71.959,-1.0,721.0,1101,128.277,-2.0,817.0,846,54.512,-1.0,616.0,1024,53.03,-1.0,457.0
43,1254,114.86,-2.0,706.0,1000,73.227,-1.0,828.0,1101,126.48,-1.0,821.0,846,57.577,0.0,567.0,1024,47.483,0.0,410.0
44,1254,121.117,0.0,765.0,1000,78.872,0.0,668.0,1101,127.24,0.0,823.0,846,56.199,0.0,496.0,1024,59.19,0.0,503.0
45,1254,118.545,-1.0,900.0,1000,76.8,0.0,803.0,1101,126.487,-1.0,800.0,846,54.98,0.0,454.0,1024,54.984,-2.0,547.0
46,1254,125.59,-1.0,1023.0,1000,73.352,-3.0,612.0,1101,122.907,-2.0,894.0,846,54.4,-1.0,521.0,1024,53.427,-2.0,453.0
47,1254,114.788,-3.0,768.0,1000,72.247,-2.0,706.0,1101,125.32,-3.0,826.0,846,53.622,-2.0,444.0,1024,57.742,-5.0,496.0
